sid,name,line,latitude,longitude
138,bellas artes,linea 8,19.4356,-99.1388
139,cerro de la estrella,linea 8,19.32,-99.0847
140,chabacano,linea 8,19.4099,-99.1289
141,constitucin de 1917,linea 8,19.42,-99.14
142,coyuya,linea 8,19.396,-99.09
143,doctores,linea 8,19.4134,-99.1388
144,escuadrn 201,linea 8,19.356,-99.09
145,garibaldi/lagunilla,linea 8,19.4459,-99.1388
146,iztacalco,linea 8,19.387,-99.09
147,iztapalapa,linea 8,19.3307,-99.0847
148,la viga,linea 8,19.3975,-99.112
149,obrera,linea 8,19.4076,-99.1388
150,salto del agua,linea 8,19.4261,-99.1417
151,san juan de letrn,linea 8,19.42,-99.14
152,santa anita,linea 8,19.405,-99.09
153,uam-i,linea 8,19.42,-99.14
154,centro mdico,linea 9,19.3942,-99.1625
155,chabacano,linea 9,19.4099,-99.1289
156,chilpancingo,linea 9,19.4059,-99.1622
157,ciudad deportiva,linea 9,19.4035,-99.066
158,jamaica,linea 9,19.4099,-99.0993
159,lzaro crdenas,linea 9,19.397,-99.1497
160,mixiuhca,linea 9,19.4068,-99.088
161,pantitln,linea 9,19.4153,-99.068
162,patriotismo,linea 9,19.3988,-99.1785
163,puebla,linea 9,19.4035,-99.055
164,tacubaya,linea 9,19.4019,-99.1887
165,veldromo,linea 9,19.4047,-99.078
166,acatitla,linea a,19.3718,-99.0069
167,agrcola oriental,linea a,19.42,-99.14
168,canal de san juan,linea a,19.4003,-99.0418
169,guelatao,linea a,19.3862,-99.0248
170,la paz,linea a,19.35,-98.9793
171,los reyes,linea a,19.3572,-98.9881
172,pantitln,linea a,19.4153,-99.068
173,pen viejo,linea a,19.42,-99.14
174,santa marta,linea a,19.3645,-98.9976
175,tepalcates,linea a,19.3933,-99.0332
176,bosque de aragn,linea b,19.42,-99.14
177,buenavista,linea b,19.452,-99.1508
178,ciudad azteca,linea b,19.543,-99.015
179,deportivo oceana,linea b,19.42,-99.14
180,ecatepec,linea b,19.42,-99.14
181,garibaldi/lagunilla,linea b,19.4459,-99.1388
182,guerrero,linea b,19.452,-99.1402
183,impulsora,linea b,19.42,-99.14
184,lagunilla,linea b,19.4476,-99.1349
185,morelos,linea b,19.4483,-99.1062
186,mzquiz,linea b,19.42,-99.14
187,nezahualcyotl,linea b,19.42,-99.14
188,oceana,linea b,19.42,-99.14
189,olmpica,linea b,19.42,-99.14
190,plaza aragn,linea b,19.5312,-99.015
191,ricardo flores magn,linea b,19.4357,-99.103
192,ro de los remedios,linea b,19.42,-99.14
193,romero rubio,linea b,19.4397,-99.1136
194,san lzaro,linea b,19.4314,-99.1065
195,tepito,linea b,19.4437,-99.1242
196,villa de aragn,linea b,19.42,-99.14
